,TMIN,TMAX,PRCP
1898-02-21 00:00:00+00:00,-33.0,72.0,
1898-02-22 00:00:00+00:00,-61.0,11.0,
1898-02-23 00:00:00+00:00,-117.0,44.0,
1898-02-24 00:00:00+00:00,-122.0,100.0,
1898-02-25 00:00:00+00:00,0.0,72.0,
1898-02-26 00:00:00+00:00,-50.0,61.0,
1898-02-27 00:00:00+00:00,-100.0,94.0,
1898-02-28 00:00:00+00:00,-50.0,100.0,
1898-03-01 00:00:00+00:00,,,
1898-03-02 00:00:00+00:00,,,
1898-03-03 00:00:00+00:00,,,
1898-03-04 00:00:00+00:00,-89.0,-44.0,53.0
1898-03-05 00:00:00+00:00,-183.0,39.0,
1898-03-06 00:00:00+00:00,6.0,106.0,
1898-03-07 00:00:00+00:00,-39.0,94.0,0.0
1898-03-08 00:00:00+00:00,-161.0,-17.0,119.0
1898-03-09 00:00:00+00:00,-111.0,-22.0,23.0
1898-03-10 00:00:00+00:00,-244.0,-17.0,0.0
1898-03-11 00:00:00+00:00,-139.0,17.0,81.0
1898-03-12 00:00:00+00:00,-211.0,39.0,46.0
1898-03-13 00:00:00+00:00,-117.0,17.0,0.0
1898-03-14 00:00:00+00:00,-139.0,6.0,
1898-03-15 00:00:00+00:00,-106.0,-61.0,94.0
1898-03-16 00:00:00+00:00,-178.0,-22.0,122.0
1898-03-17 00:00:00+00:00,-261.0,-17.0,0.0
1898-03-18 00:00:00+00:00,-283.0,-6.0,
1898-03-19 00:00:00+00:00,-183.0,-6.0,0.0
1898-03-20 00:00:00+00:00,-178.0,-33.0,46.0
1898-03-21 00:00:00+00:00,-250.0,-172.0,18.0
1898-03-22 00:00:00+00:00,-383.0,-94.0,
1898-03-23 00:00:00+00:00,-106.0,-6.0,
1898-03-24 00:00:00+00:00,-183.0,6.0,36.0
1898-03-25 00:00:00+00:00,-244.0,-156.0,472.0
1898-03-26 00:00:00+00:00,-322.0,-78.0,0.0
1898-03-27 00:00:00+00:00,-200.0,0.0,
1898-03-28 00:00:00+00:00,-189.0,33.0,0.0
1898-03-29 00:00:00+00:00,-189.0,33.0,
1898-03-30 00:00:00+00:00,-39.0,56.0,0.0
1898-03-31 00:00:00+00:00,-94.0,-22.0,51.0
1898-04-01 00:00:00+00:00,-228.0,72.0,0.0
1898-04-02 00:00:00+00:00,-28.0,89.0,0.0
1898-04-03 00:00:00+00:00,-61.0,44.0,25.0
1898-04-04 00:00:00+00:00,-189.0,44.0,0.0
1898-04-05 00:00:00+00:00,-189.0,56.0,0.0
1898-04-06 00:00:00+00:00,-50.0,117.0,0.0
1898-04-07 00:00:00+00:00,-17.0,72.0,0.0
1898-04-08 00:00:00+00:00,-28.0,39.0,0.0
1898-04-09 00:00:00+00:00,0.0,144.0,0.0
