adjmix_rain,Factor to adjust rain proportion in a mixed rain/snow event,Climate,0.6,1.4,1
tmax_allrain,Maximum air temperature above which precipitation is rain,Climate,-8,60,26
tmax_allsnow,Maximum air temperature below which precipitation is snow,Climate,-10,40,15
dday_intcp,Intercept in degree–day equation,Solar radiation,-60,10,-25
dday_slope,Slope in degree–day equation,Solar radiation,0.2,0.9,0.55
ppt_rad_adj,Solar radiation adjustment threshold for precipitation days,Solar radiation,0,0.5,0.25
radj_sppt,Solar radiation adjustment on summer precipitation days,Solar radiation,0,1,0.5
radj_wppt,Solar radiation adjustment on winter precipitation days,Solar radiation,0,1,0.5
radmax,Maximum solar radiation caused by atmospheric effects,Solar radiation,0.1,1,0.55
tmax_index,Temperature to determine precipitation adjustments to solar radiation,Solar radiation,-10,110,50
jh_coef,Coefficient used in Jensen–Haise potential ET computations,Potential ET,0.01,0.06,0.035
jh_coef_ hru,Coefficient used in Jensen–Haise potential ET computations,Potential ET,5,25,15
srain_intcp,Summer rain interception storage capacity,Interception,0,1,0.5
wrain_intcp,Winter rain interception storage capacity,Interception,0,1,0.5
cecn_coef,Convection condensation energy coefficient,Snow,2,10,6
emis_noppt,Average emissivity of air on days without precipitation,Snow,0.76,1,0.88
freeh2o_cap,Free-water holding capacity of snowpack,Snow,0.01,0.2,0.105
potet_sublim,Snow sublimation fraction of potential ET,Snow,0.1,0.75,0.425
carea_max,Maximum area contributing to surface runoff,Surface runoff,0,1,0.5
smidx_coef,Nonlinear contributing area coefficient,Surface runoff,0,0.06,0.03
smidx_exp,Exponent in nonlinear contributing area coefficient,Surface runoff,0.1,0.5,0.3
fastcoef_lin,Linear coefficient in equation to route preferential flow,Soil zone,0,0.8,0.4
fastcoef_sq,Nonlinear coefficient in equation to route preferential flow,Soil zone,0,1,0.5
pref_flow_den,Fraction of the soil zone in which preferential flow occurs,Soil zone,0,0.1,0.05
sat_threshold,Water capacity between field capacity and total saturation,Soil zone,1,999,500
slowcoef_lin,Linear coefficient for interflow routing,Soil zone,0,0.5,0.25
slowcoef_sq,Nonlinear coefficient for interflow routing,Soil zone,0,1,0.5
soil2gw_max,Maximum soil-water excess that is routed directly to groundwater,Soil zone,0,0.5,0.25
soil_moist_max,Maximum available water-holding capacity of soil zone,Soil zone,0,10,5
soil_rechr_max,Maximum available water-holding capacity of recharge zone,Soil zone,0,5,2.5
ssr2gw_exp,Nonlinear coefficient in equation used to route soil-zone water to groundwater,Soil zone,0,3,1.5
ssr2gw_rate,Linear coefficient in equation used to route soil-zone water to groundwater,Soil zone,0.05,0.8,0.425
transp_tmax,Temperature that determines start of the transpiration period,Soil zone,0,1000,500
gwflow_coef,Linear groundwater discharge coefficient,Groundwater,0,0.5,0.25
